id,time,created_at,from_user_name,text,filter_level,possibly_sensitive,withheld_copyright,withheld_scope,truncated,retweet_count,favorite_count,lang,to_user_name,in_reply_to_status_id,quoted_status_id,source,location,lat,lng,from_user_id,from_user_realname,from_user_verified,from_user_description,from_user_url,from_user_profile_image_url,from_user_utcoffset,from_user_timezone,from_user_lang,from_user_tweetcount,from_user_followercount,from_user_friendcount,from_user_favourites_count,from_user_listed,from_user_withheld_scope,from_user_created_at
996875460150681600,1526508605,2018-05-16T22:10:05Z,LouieGie5,"RT @NintendoAmerica: In Adventure Mode of #HyruleWarriors: Definitive Edition, battle it out on 10 different maps inspired by the original Legend of Zelda overworld to unlock characters and get powerful weapons! https://t.co/eVYaQiPZ2X",none,NA,NA,NA,NA,224,0,en,NA,NA,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,1400301332,Louie Gie,0,NA,NA,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,NA,NA,en,7165,37,33,19450,0,NA,2013-05-03T17:42:16Z
996875472024752128,1526508608,2018-05-16T22:10:08Z,zelda_0221,午前07時10分です。 リボンちゃん「ボンジュール！でちゅわ！」,none,NA,NA,NA,NA,0,0,ja,NA,NA,NA,"<a href=""http://autotweety.net"" rel=""nofollow"">autotweety.net</a>",世良ちゃんのマンションの隣の部屋,NA,NA,713700626174087168,プゥー,0,福岡の大学生(成人)/名探偵コナン(世良ちゃん推し！)/弱虫ペダル/ゼルダ/カービィ/任天堂/ツムツム/鉄道/ゲーム/ドラえもん/ハム太郎/遅延情報/柿原徹也/代永翼/先導アイチ,NA,http://pbs.twimg.com/profile_images/848315894728019968/0nej_Xyz_normal.jpg,NA,NA,ja,32229,394,609,18435,4,NA,2016-03-26T12:14:24Z
996875486503587841,1526508611,2018-05-16T22:10:11Z,qloloRTs,RT @TestyShift: !!! Remember we are streaming at 6:00pm PST !!!  https://t.co/HibzMbMBco  #twitch #twitchtv #lurkforce #teamb42 #streamersconnected #smallstreamersunited #teamgodvek #fortnite #zelda #TwitchReTweets #TwitchOnline #KillerB07 #twitchkittens,none,0,NA,NA,NA,12,0,en,NA,NA,NA,"<a href=""http://nositeforabot.com"" rel=""nofollow"">QLOLO RT BOT</a>",Retweeting & Grinding,NA,NA,3300509104,qLOLO Retweets,0,Tag us in your tweet @qloloRTs and follow us on twitch - https://t.co/CIRTfI3pUl,https://t.co/CIRTfI3pUl,http://pbs.twimg.com/profile_images/991383953742401537/uAKz6bMJ_normal.jpg,-25200,Pacific Time (US & Canada),en,8296,1218,44,1744,41,NA,2015-05-27T14:14:05Z
996875538181578753,1526508624,2018-05-16T22:10:24Z,shslsakuralover,worst zelda game is 1 but most overrated is twilight princess,none,NA,NA,NA,NA,0,1,en,NA,NA,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",a classic msx game: shit,NA,NA,762139118012866560,aizawa nagisa and sakura matou 💙💜💙💜💙,0,"please read jitsu wa watashi wa || lov aizawa, sakura, and tamamo || he/they pronouns || aizawa nagisa kiss???? || ❤💕💕 @TheShaboodle💕💕💓 ||",NA,http://pbs.twimg.com/profile_images/993686226711580673/KGQ2bEX3_normal.jpg,-14400,Eastern Time (US & Canada),en,40665,524,887,109411,19,NA,2016-08-07T04:11:40Z
996875581231857664,1526508634,2018-05-16T22:10:34Z,Kitty_zelda,You might live in Canada if on a 23 ° day you debate bringing a sweater out with you..,none,NA,NA,NA,NA,0,0,en,NA,NA,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SUMMONERS RIFT,NA,NA,597001804,blank,0,NA,https://t.co/s67QfeE1cL,http://pbs.twimg.com/profile_images/996554572159107073/q8_ulD-P_normal.jpg,NA,NA,en,3582,314,171,1159,3,NA,2012-06-02T02:16:45Z
996875585056993281,1526508635,2018-05-16T22:10:35Z,Veruska96d,Como descargar Zelda Majoras Mask en ESPAÑOL en PC & ANDROID (LEER DESCRIPCIÓN) https://t.co/uSg4GdVrMm,none,0,NA,NA,NA,0,0,es,NA,NA,NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",NA,NA,NA,2565948096,Veruska D.P.,0,NA,NA,http://pbs.twimg.com/profile_images/477681467007311872/CqQYrira_normal.jpeg,-14400,La Paz,es,70231,659,91,185,4,NA,2014-06-13T21:48:46Z
996875616623316992,1526508642,2018-05-16T22:10:42Z,ToonLink_bot,@zelda__bot おはよ ゼルダ！,none,NA,NA,NA,NA,0,0,ja,zelda__bot,996874213402165248,NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>",プロロ島,NA,NA,86914536,リンク,0,ゼルダの伝説　風のタクト・夢幻の砂時計・スマブラXに登場するリンクの非公式自動botです。詳しくは取り扱い説明書をご覧ください。,http://t.co/TRISq4k1lG,http://pbs.twimg.com/profile_images/636718377/link_stance_normal.jpg,32400,Osaka,ja,106676,1647,1543,0,79,NA,2009-11-02T10:24:29Z
996875643815055362,1526508649,2018-05-16T22:10:49Z,zelda__bot,@ToonLink_bot あ…すみませんボーっとしていました,none,NA,NA,NA,NA,0,0,ja,ToonLink_bot,996875616623316992,NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>",ハイラル城,NA,NA,338376942,ゼルダ,0,ゼルダの伝説の登場人物ゼルダ姫の非公式自動botです。ほんのりリンゼル仕様。 ゲーム内(全シリーズ)9割、漫画＆創作1割のセリフを定期的につぶやきます。@のみ反応します。 詳しくはURLをご覧ください。お別れはブロックで,https://t.co/3DPqGa33I1,http://pbs.twimg.com/profile_images/981842704861507584/G1nBpmRc_normal.jpg,-36000,Hawaii,ja,171007,1280,1347,0,21,NA,2011-07-19T13:58:29Z
996875644783837189,1526508649,2018-05-16T22:10:49Z,zelda__bot,@alien_zebes おはようございますスペースパイレーツ。今日もがんばりましょうね,none,NA,NA,NA,NA,0,0,ja,alien_zebes,996873226125955072,NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>",ハイラル城,NA,NA,338376942,ゼルダ,0,ゼルダの伝説の登場人物ゼルダ姫の非公式自動botです。ほんのりリンゼル仕様。 ゲーム内(全シリーズ)9割、漫画＆創作1割のセリフを定期的につぶやきます。@のみ反応します。 詳しくはURLをご覧ください。お別れはブロックで,https://t.co/3DPqGa33I1,http://pbs.twimg.com/profile_images/981842704861507584/G1nBpmRc_normal.jpg,-36000,Hawaii,ja,171007,1280,1347,0,21,NA,2011-07-19T13:58:29Z
996875763453317120,1526508677,2018-05-16T22:11:17Z,alien_zebes,@zelda__bot おはよう、ゼルダ！今日も適当に頑張ろうぜ,none,NA,NA,NA,NA,0,0,ja,zelda__bot,996875644783837189,NA,"<a href=""http://makebot.sh"" rel=""nofollow"">スペースパイレーツ</a>",銀河,NA,NA,2298674419,スペースパイレーツ,0,我らがスペースパイレーツ！残忍残虐と言われているが、我々も厳しい縦社会。愚痴ぐらいこぼしたくなる。上にバレるとまずいので非公式だがな…普段はbotだがリプライをくれるとたまーに返事するぜ,NA,http://pbs.twimg.com/profile_images/424691557761949696/usl09T8K_normal.jpeg,NA,NA,ja,89891,237,205,51,5,NA,2014-01-18T23:33:25Z
996875767157002240,1526508678,2018-05-16T22:11:18Z,StreamLadder,RT @TestyShift: !!! Remember we are streaming at 6:00pm PST !!!  https://t.co/HibzMbMBco  #twitch #twitchtv #lurkforce #teamb42 #streamersconnected #smallstreamersunited #teamgodvek #fortnite #zelda #TwitchReTweets #TwitchOnline #KillerB07 #twitchkittens,none,0,NA,NA,NA,12,0,en,NA,NA,NA,"<a href=""https://twitter.com/StreamLadder434"" rel=""nofollow"">streamladdertrtrt</a>",NA,NA,NA,4613478793,StreamLadder,0,Climb to the top of your stream game with @StreamLadder 🔺Gain fans from our shout-outs and retweets 🔺Comment on our tweets and climb the ladder!,NA,http://pbs.twimg.com/profile_images/843283029577547776/7CtBNoA7_normal.jpg,-25200,Pacific Time (US & Canada),en,24661,3545,988,43822,273,NA,2015-12-20T15:17:35Z
996875768629202944,1526508678,2018-05-16T22:11:18Z,hipsterplease,"RT @agentbizzle: By 35, you should have at least one save file in every Zelda game, according to retirement experts.",none,NA,NA,NA,NA,4342,0,en,NA,NA,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",upstate SC,NA,NA,14603584,Z.,0,Father. Friend. Writer. Teller of tales. Caster of pods. Managing Editor at the @GeekDads blog. Noted pajama enthusiast. Delightful hick.,http://t.co/M5WRqM7VYJ,http://pbs.twimg.com/profile_images/950435345971253253/14fM4sbo_normal.jpg,-14400,Eastern Time (US & Canada),en,39403,2943,525,3178,187,NA,2008-04-30T18:09:38Z
996875799348183040,1526508686,2018-05-16T22:11:26Z,guy13869,RT @comicbookanime: Robin Williams’ daughter is asking for fans to help identify pieces of his massive anime collection:  https://t.co/BdRCSIlPRS https://t.co/Q8N7C04ugt,none,NA,NA,NA,NA,285,0,en,NA,NA,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",That One Place With Dirt,NA,NA,955480265589014529,ThisOneGuy13869,0,"Weed, Music, Comics, Video Games & Movies",NA,http://pbs.twimg.com/profile_images/969829316253990912/iqV1UHHd_normal.jpg,NA,NA,en,874,351,1917,2169,0,NA,2018-01-22T16:40:22Z
996875807640424448,1526508688,2018-05-16T22:11:28Z,Jason0Avis,"RT @RChapple18: Also, this is gonna be a stupid question,, but can my Zelda friends tell me the best game to start getting into the franchise 🤔 I’ve never had the opportunity to play any of the games myself and would like to give it a try https://t.co/znx9qLBSNm",none,NA,NA,NA,NA,3,0,en,NA,NA,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Nintendo Land,NA,NA,616550334,Jason Avis,0,"Gamer, Disney fan, likes EDM and anime. Profile pic by @mythridate Competitive Splatoon player for @Waves_Spl Currently a Level Designer for @EdenFalling",https://t.co/XTWc8gz1tk,http://pbs.twimg.com/profile_images/977891465195151361/zRJl30K7_normal.jpg,-14400,Eastern Time (US & Canada),en,23239,512,868,34906,24,NA,2012-06-23T21:00:46Z
996875904000380928,1526508711,2018-05-16T22:11:51Z,Sherbert241,"RT @DarkHorseComics: ICYMI: Dark Horse is pleased to announce The Legend of Zelda™: Breath of the Wild—Creating a Champion art book, out this November! The ultimate companion to the video game features sketches, illustrations, & cover by Takumi Wada; more: https://t.co/8zcWQmBFIX @NintendoAmerica https://t.co/51METQRG1w",none,NA,NA,NA,NA,980,0,en,NA,NA,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,2799967447,Sabrina,0,"Education, video games and cute animals are what keep me going",NA,http://pbs.twimg.com/profile_images/913075388397625346/jsWO3RKS_normal.jpg,NA,NA,en,56,29,45,89,0,NA,2014-09-09T13:37:42Z
996875978482831361,1526508728,2018-05-16T22:12:08Z,SupraDarky,Today's upload from Zelda Link's Awakening: https://t.co/3AeQ0LDAmV,none,0,NA,NA,NA,1,3,en,NA,NA,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Montreal,NA,NA,170001803,SupraDarky,0,"Creator of the Best VGM List, composer and gaming fan. Also Canadian.",http://t.co/MAOHxmpsj2,http://pbs.twimg.com/profile_images/2859313578/59821fdb20d12d4bfd98985cee41a4eb_normal.jpeg,-14400,Eastern Time (US & Canada),en,2596,872,19,10,12,NA,2010-07-23T18:13:20Z
996876005070528512,1526508735,2018-05-16T22:12:15Z,Avion_Hawke,"RT @DarkHorseComics: ICYMI: Dark Horse is pleased to announce The Legend of Zelda™: Breath of the Wild—Creating a Champion art book, out this November! The ultimate companion to the video game features sketches, illustrations, & cover by Takumi Wada; more: https://t.co/8zcWQmBFIX @NintendoAmerica https://t.co/51METQRG1w",none,NA,NA,NA,NA,980,0,en,NA,NA,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,716643836622151680,Incorporeal Prince,0,"you want to talk about me? I’m flattered. also, inclined towards extravagant lies.",NA,http://pbs.twimg.com/profile_images/963157415918174208/T0E80Ldp_normal.jpg,NA,NA,en,584,8,48,1881,0,NA,2016-04-03T15:09:40Z
996876005754245122,1526508735,2018-05-16T22:12:15Z,ProfessorBonkle,"RT @agentbizzle: By 35, you should have at least one save file in every Zelda game, according to retirement experts.",none,NA,NA,NA,NA,4342,0,en,NA,NA,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Over there,NA,NA,431919070,Michael Bickle,0,NA,NA,http://pbs.twimg.com/profile_images/989315617030397952/as8Lct-4_normal.jpg,-14400,Eastern Time (US & Canada),en,832,26,170,3073,3,NA,2011-12-08T20:50:27Z
996876020337737730,1526508738,2018-05-16T22:12:18Z,KiddyKong,"J'aime une vidéo @YouTube : ""Best VGM 2170 - Zelda : Link's Awakening - First Time of Koholint (Sword Search)"" à l'adresse",none,NA,NA,NA,NA,0,0,fr,NA,NA,NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>",Portageland,NA,NA,4070764329,Tempo ٩(^ᴗ^)۶,0,bof,https://t.co/34KPBrmcd0,http://pbs.twimg.com/profile_images/998163761545363456/m75-Uh1V_normal.jpg,-25200,Pacific Time (US & Canada),fr,248198,1895,1161,30951,97,NA,2015-10-29T22:23:07Z
996876027262570496,1526508740,2018-05-16T22:12:20Z,MKUltraLabel,"RT @agentbizzle: By 35, you should have at least one save file in every Zelda game, according to retirement experts.",none,NA,NA,NA,NA,4342,0,en,NA,NA,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",215 to the 856,NA,NA,289190779,MK Ultra Recordings,0,Esoge - Producer/MC/Engineer,http://t.co/KcMf1PzjIS,http://pbs.twimg.com/profile_images/1329935413/image_normal.jpg,NA,NA,en,2835,216,616,3152,3,NA,2011-04-28T05:39:49Z
996876107348619264,1526508759,2018-05-16T22:12:39Z,derekpxart,RT @ToastyTheGame: I'm not finding any rupees ( ͡° ͜ʖ ͡°) #playtoasty #pixelart #indiedev #gamedev #vacaroxa #zelda #cutthatgrassmarshmallowman https://t.co/gTTbmDmvEp,none,NA,NA,NA,NA,20,0,en,NA,NA,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NA,NA,NA,3252758835,Derek Souza,0,Pixel artist Freelancer • Game design • Currently working on the @ToastyTheGame • PT-BR/EN • Contact: Derekpxart@gmail.com or DM,https://t.co/JCHN4k9eop,http://pbs.twimg.com/profile_images/898107235326464001/6ez-a4Xj_normal.jpg,-25200,Pacific Time (US & Canada),pt,12617,955,2014,17411,34,NA,2015-05-13T22:12:34Z
996876164567388160,1526508773,2018-05-16T22:12:53Z,TheLos,"RT @agentbizzle: By 35, you should have at least one save file in every Zelda game, according to retirement experts.",none,NA,NA,NA,NA,4342,0,en,NA,NA,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Virginia, USA",NA,NA,3029731,Casa De Los!,0,Support Your Local Carlos! 👍,https://t.co/edNEssNhXU,http://pbs.twimg.com/profile_images/970670346398584832/5ozjCGOg_normal.jpg,-14400,Eastern Time (US & Canada),en,123506,1309,3210,300554,114,NA,2007-03-31T01:16:45Z
996876231261020160,1526508789,2018-05-16T22:13:09Z,molly_romero,RT @hunty_bunches: when i play as zelda in smash bros and just spam teleport https://t.co/yZ3X1QYxtk,none,0,NA,NA,NA,698,0,en,NA,NA,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,474528147,molly romero,0,NA,NA,http://pbs.twimg.com/profile_images/995762066643439623/vg-QDqnQ_normal.jpg,-10800,Atlantic Time (Canada),en,17442,389,304,17641,0,NA,2012-01-26T02:46:34Z
996876232871555072,1526508789,2018-05-16T22:13:09Z,MemoriesIn8Bit,"So I actually have a lot of plans for doing some light streaming on my channel again. The aforementioned Zelda Randomizer as well as a complete re-run of @WFTOGame soon as 2.0.1 hits the scene. Want to see the Remastered campaign, HoG and more :)",none,NA,NA,NA,NA,0,5,en,NA,NA,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",GOG Galaxy,NA,NA,1209967656,The Ghost Of Gaming Past,0,Developer of @ColdHeartsGame & @DescentRebirth. Building levels for @Mothergunship. Streaming for @GOGcomTwitch. Drinking lotsa coffee.,https://t.co/1zKszFuqdw,http://pbs.twimg.com/profile_images/899574468993052673/z1S4M20w_normal.jpg,7200,Bern,en,24329,998,195,5786,35,NA,2013-02-22T22:40:12Z
996876245387350017,1526508792,2018-05-16T22:13:12Z,officialrase,Ich mag das @YouTube-Video: https://t.co/G9Fc1GOV5A The Legend of Zelda Theme - EASY Piano Tutorial by PlutaX,none,0,NA,NA,NA,0,0,en,NA,NA,NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>",NA,NA,NA,700733347744636929,Rase,0,My Channel on YouTube:,https://t.co/ryZkiScHtI,http://pbs.twimg.com/profile_images/954097717873184769/yB9ughQd_normal.jpg,7200,Bern,de,446,78,43,90,0,NA,2016-02-19T17:27:03Z
996876248986025990,1526508793,2018-05-16T22:13:13Z,JustWest0fWeird,"RT @DarkHorseComics: ICYMI: Dark Horse is pleased to announce The Legend of Zelda™: Breath of the Wild—Creating a Champion art book, out this November! The ultimate companion to the video game features sketches, illustrations, & cover by Takumi Wada; more: https://t.co/8zcWQmBFIX @NintendoAmerica https://t.co/51METQRG1w",none,NA,NA,NA,NA,980,0,en,NA,NA,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Gravity Falls,NA,NA,2784746667,🌺Pink Sky🌺,0,"22♀ 👾Gamer🎮 🐉Dovahkiin🐉 🔮Empress of Evil🔮 ✨Genji, Sombra, Moira✨ Trío Galleta🍪 LPDB🦄 🌸Soft & pastels🌸 🐶DOGGOS🐶 💖✨TENGO MUCHOS HUSBANDOS Y WAIFUS AYUDA✨💖",https://t.co/F2rc7XAYJd,http://pbs.twimg.com/profile_images/993665343968210944/fnFMTxLY_normal.jpg,-10800,Buenos Aires,es,157448,496,330,87439,26,NA,2014-09-26T01:54:18Z
996876312366256129,1526508808,2018-05-16T22:13:28Z,zelda__bot,どいてください!,none,NA,NA,NA,NA,0,0,ja,NA,NA,NA,"<a href=""http://botbird.metabirds.net"" rel=""nofollow"">Botbird tweets</a>",ハイラル城,NA,NA,338376942,ゼルダ,0,ゼルダの伝説の登場人物ゼルダ姫の非公式自動botです。ほんのりリンゼル仕様。 ゲーム内(全シリーズ)9割、漫画＆創作1割のセリフを定期的につぶやきます。@のみ反応します。 詳しくはURLをご覧ください。お別れはブロックで,https://t.co/3DPqGa33I1,http://pbs.twimg.com/profile_images/981842704861507584/G1nBpmRc_normal.jpg,-36000,Hawaii,ja,171007,1280,1347,0,21,NA,2011-07-19T13:58:29Z
996876340157714433,1526508815,2018-05-16T22:13:35Z,lauren_zelda,Someone needs to spill about @Jaclynhill and Jon ASAP,none,NA,NA,NA,NA,0,0,en,NA,NA,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,247162310,Lauren Zelda,0,insane in the membrane,NA,http://pbs.twimg.com/profile_images/849090254325899265/VsNLcHFc_normal.jpg,-18000,Central Time (US & Canada),en,1822,282,346,4403,1,NA,2011-02-04T06:24:50Z
996876385611169792,1526508826,2018-05-16T22:13:46Z,whosena,"RT @DarkHorseComics: ICYMI: Dark Horse is pleased to announce The Legend of Zelda™: Breath of the Wild—Creating a Champion art book, out this November! The ultimate companion to the video game features sketches, illustrations, & cover by Takumi Wada; more: https://t.co/8zcWQmBFIX @NintendoAmerica https://t.co/51METQRG1w",none,NA,NA,NA,NA,980,0,en,NA,NA,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,24175073,🦌,0,NA,NA,http://pbs.twimg.com/profile_images/997088283191427073/lOvB23u4_normal.jpg,3600,London,en,15595,259,196,2264,2,NA,2009-03-13T14:05:50Z
